category,spotName,address,imageUrls,markerColor,description
穿越時光，探索台北城之旅,藤香厚工豆花,台北市信義區吳興街113號,media/店家/08.藤香厚工豆花/藤香厚工豆花1.jpg|media/店家/08.藤香厚工豆花/藤香厚工豆花2.jpg,yellow,講求豆漿最佳香氣與口感，「搞剛 用一種豆子的簡單」地自己摸索出一套依比例拚配。從選、配磨煮漿到過濾堅持中， 不同豆種的程序。 點滴累積出老闆專注在意的濃厚豆香與潤喉甘芳。豆花滑順綿密、入口即化的口感，加上如蜜般香甜的 特製火炒焦糖，絕對一碗接一碗。還有創新「豆花五重奏」，鹹甜口感顛覆你對的想像呦!
穿越時光，探索台北城之旅,湘八老,台北市大安區安和路二段74巷8號,media/店家/09.湘八老/湘八老1.jpg|media/店家/09.湘八老/湘八老2.jpg,yellow,彭園餐飲集團創辦人彭長貴，希望人人在平常生活中就可以品嘗美味，於2013年推出新品牌「湘８老」，以「湘特色、心料理、零距離、溫馨感」再創料理新風格與模式，讓吃飯聚餐、品味美食成為生活中的小確幸，是一種隨手可得的平凡幸福。
穿越時光，探索台北城之旅,More&More coffee Roastery,台北市信義區莊敬路289巷4弄24號,media/店家/10.More&More_coffee_Roastery/More&More_coffee_Roastery.jpeg,yellow,"咖啡就自己而言是迷人的
在櫛比鱗次的咖啡選項中
從交流出發、分享開始
用單品的純粹與濃縮及牛奶的融合
希望有緣可以讓更多的朋友
讓我為你們沖一杯屬於自己的咖啡"
穿越時光，探索台北城之旅,團圓-頂級酸菜白肉鍋,台北市信義區和平東路三段421號1樓,media/店家/11.團圓-頂級酸菜白肉鍋/團圓-頂級酸菜白肉鍋1.png|media/店家/11.團圓-頂級酸菜白肉鍋/團圓-頂級酸菜白肉鍋2.png,yellow,"本店保證100%純天然發酵酸白菜，搭配祖傳秘方的濃郁湯頭
讓您體驗自然的清香酸、爽脆及不嗆喉的酸菜白肉鍋
濃郁酸香，百吃不膩"
穿越時光，探索台北城之旅,品湯白色麻辣鍋專賣,台北市信義區基隆路一段147巷25號,media/店家/12.品湯白色麻辣鍋專賣/品湯白色麻辣鍋專賣1.jpeg|media/店家/12.品湯白色麻辣鍋專賣/品湯白色麻辣鍋專賣2.jpeg,yellow,慢火煲煮的老火湯底傳承了中華飲食文化傳統美德「食不厭精 膾不厭細」，火候足、時間長、取其精華、滋味美好。
百年古蹟文化城，剝皮寮懷舊之旅,兩喜號,台北市萬華區西園路一段194號,media/店家/13.兩喜號/兩喜號1.jpg|media/店家/13.兩喜號/兩喜號2.jpg,red,西元1921年（民國十年）先祖陳兩喜君時年十八歲，於日治時期艋舺龍山寺埕消防隊旁（現艋舺公園噴水池處），開始掮挑扁擔創業；其後傳於先父陳清水君，時年二十三歲，為紀念先祖將家業取名店號『兩喜』，為本店奠立穩固根基的由來。兩喜號經營期間，由第三代夫妻倆繼承家業，店址卻因龍山臨時商場（現今捷運龍山寺站旁）拆除，只能寄人籬下，於西園路騎樓下營業；第三代夫妻倆肩負使命，不論刮風下雨也堅持全年無休，過程固然辛苦，也為了讓每個客人能嚐上一口『兩喜號魷魚羹』的好滋味，持續努力著。辛苦的代價總是美好，期間總有客人光顧提到：「會遠道而來，除了懷念道地的好味道，更想看這一對賣力的夫妻。」因為客人們的滿足與鼓勵，更是第三代夫妻倆發憤吃苦也要傳承祖傳家業的重要使命。使家族同營的『兩喜號』能輾轉至現今店址的榮景。創業維艱，守成不易。兩喜號於民國八十七年二月，榮獲台北市政府核准頒發的『台北百年老店』殊榮，並且持續努力服務著舊雨新知，使艋舺『兩喜號魷魚羹』揚名立萬，流芳百世。
百年古蹟文化城，剝皮寮懷舊之旅,小王煮瓜,台北市萬華區華西街17之4號攤位153號,media/店家/14.小王煮瓜/小王煮瓜1.jpg|media/店家/14.小王煮瓜/小王煮瓜2.jpg,red,原名「小王清湯瓜仔肉」，華西街40年老店，以獨門的清湯瓜仔肉聞名，2019年獲米其林必比登推薦。店面陳舊，飽受漏水困擾，第二代老闆夫婦期望提升品牌形象，帶動華西街昔日榮景。原店名過於冗長，經由甦活再造賦予新命名「小王煮瓜Wang’s Broth」，加上Slogan「吃過的人都誇」，搭配CI、空間設計與攤車造景，顯化美食精髓、街區歷史與市井趣味。改造後成為華西街美拍地標，也帶動商圈同業跟進。
百年古蹟文化城，剝皮寮懷舊之旅,川業肉圓,台北市萬華區廣州街165號,media/店家/15.川業肉圓/川業肉圓1.jpg|media/店家/15.川業肉圓/川業肉圓2.jpg,red,起家新竹之百年肉圓老字號，緣於當地青山宮啟示，祖輩攜家遷來萬華。去年(2021) 新竹肉圓更名為「川業肉圓」並整新店裝。本次輕改造提煉品牌核心，定位「百年祖傳紅糟肉圓」，並以Slogan「青山依舊．美味川流」聚焦品牌與新竹、艋舺兩地青山宮的淵源，調整店內艋舺青山王祭典大型牆繪，並妝點門面與騎樓，強化百年老店記憶點與故事底蘊。
百年古蹟文化城，剝皮寮懷舊之旅,蔴油木子,台北市萬華區廣州街77號,media/店家/16.蔴油木子/麻油木子1.JPG|media/店家/16.蔴油木子/蔴油木子2.JPG,red,招牌商品：黑羽麻油雞、清燉雪蓮子豬腳、當歸豬腳。不同於其他店家爆炒逼出香氣。蔴油木子以歷經慢煮、冰鎮的黑羽土雞肉，放入麻油雞高湯慢煨出香氣，麻油香和著酒香，氣味溫和不躁進，美味的老式台味，不僅解饞更養生。
百年古蹟文化城，剝皮寮懷舊之旅,元味串燒,台北市萬華區西昌街111號,media/店家/17.元味串燒/元味串燒1.jpg|media/店家/17.元味串燒/元味串燒2.jpg,red,"1983年，萬華西昌街與貴陽街口，小攤車飄起了香噴噴的烤肉味道，
蕭家夫妻埋首，爐火邊揮汗燒烤。
新鮮食材自配滷包，烤醬用20種中藥材加冰糖特熬。七里香半切，老火候逼出油膩腥氣，外酥內脆，
老師傅的手工甜不辣、紅上大螢幕的艋舺大雞腿…
浸滷、沾醬、現點現烤，兩代傳承有料。
一串串從小吃到大，萬華的孩子記牢牢，
走遍天涯，再遠都不忘，家的味道。"
百年古蹟文化城，剝皮寮懷舊之旅,老濟安Healing Herbar,台北市萬華區西昌街84號,media/店家/18.老濟安Healing_Herbar/老濟安Healing_Herbar_1.jpg|media/店家/18.老濟安Healing_Herbar/老濟安Healing_Herbar_2.jpg,red,青草達人遷離萬華青草巷熱鬧街區，落腳原為倉庫的店面。空間簡陋，產品包裝缺乏質感，多靠識貨主顧捧場。本次改造連結店主的百草養生智識，品牌定位為「療癒風青草茶吧」。融合東方青草與西方吧檯調飲，提供品茶體驗與諮詢交流，並開發溫飲手沖茶、客製複方茶及調理茶包系列產品，跳脫傳統攤車青草茶格局。
百年古蹟文化城，剝皮寮懷舊之旅,BONKERS 冰淇淋,108台北市萬華區漢中街35-21號,media/店家/19.BONKERS_冰淇淋/BONKERS冰淇淋1.jpg|media/店家/19.BONKERS_冰淇淋/BONKERS冰淇淋2.jpg,red,"BONKERS是世界上第一家完全身臨其境和包容性的冰淇淋店，我們想到了這一切。

店內設計？讓人想起狂歡節的美好時光， 燈泡、霓虹燈標誌和冰淇淋車。 人們想象了它，我們想到了它。 我們的員工？ 精心挑選的英雄和他們風格的大師。 他們有眼所及的性格，來自各行各業，非常有趣。 我們鼓勵大家和他們一起唱歌。 為什麼不呢？ 這是一個快樂的地方。 一個充滿驚喜的地方。 期待閃光、五彩紙屑和泡沫！"
百年古蹟文化城，剝皮寮懷舊之旅,露店蘇來傳,台北市萬華區和平西路三段176巷4號,media/店家/20.露店蘇來傳/露店蘇來傳1.jpg|media/店家/20.露店蘇來傳/露店蘇來傳2.jpg,red,"初代創始人:蘇方文(來傳)於民國35年龍山寺廟埕前販賣自製肉圓油粿,民國56年進駐龍山臨時商場,第二代蘇朝樹退伍後和二姊蘇春美投入家業,於77年傳承二代蘇朝樹,蘇春美,民國82年商場拆除,經歷數次搬遷於97年在三水街109號登記營業,第三代蘇成業92年跟著父親學習於101年接手營運,也請哥哥蘇遵業加入祖傳家業,期間遇過食安風暴,澱粉事件因遵循古法才挺過危機,直到111年家族商討決議,將店遷到蘇家祖厝,6個月的搬遷計畫,於111年12月15日以 露店 蘇來傳為品牌由第三代兄弟倆傳承下去,龍山臨時商場在地人以露店稱之,來傳是阿公別號,阿公是為蘇氏傳宗而改姓,品牌用 蘇來傳 除了傳統文化延續香火也是傳承阿公的古早味,在地一甲子,三代傳承,現今坐落於和平西路三段巷子裡,遷移後營運即將滿周年第三代兄弟倆已正式接手經營,也希望讓更多人認識地方小吃.""露店 蘇來傳"""
百年古蹟文化城，剝皮寮懷舊之旅,二和珍傳統餅舖,台北市萬華區康定路308號,media/店家/21.二和珍傳統餅舖/二和珍傳統餅舖1.jpeg|media/店家/21.二和珍傳統餅舖/二和珍傳統餅舖2.jpeg,red,70年的艋舺老字號漢餅，有近龍山寺之地利，可惜未能連結在地文化意象，且西點麵包佔大半空間，商品特色未現。本次改造定調「古早味傳統漢餅」，並以Slogan「一祥二和艋呷香」連結廟宇祈福文化，加強立地行銷，吸引國內外觀光客群。除設計品牌CI、重整店裝，亦重新規劃商品陳列與銷售比重，強化漢餅老店質感。
百年古蹟文化城，剝皮寮懷舊之旅,雪王冰淇淋,台北市中正區武昌街一段65號2樓,media/店家/22.雪王冰淇淋/雪王冰淇淋1.jpg|media/店家/22.雪王冰淇淋/雪王冰淇淋2.jpg,red,本店自1947年成立以來，秉持天然完美，研發各式冰淇淋以滿足顧客，現有73種獨家口味，包括鹹的、酒做的、茶的冰淇淋等。敬請蒞臨指教！
水道水源地之旅(臺北水旅行),麻辣巴蕾,台北市中正區汀州路三段183號,media/店家/26.麻辣巴蕾/麻辣巴蕾1.jpg|media/店家/26.麻辣巴蕾/麻辣巴蕾2.jpg,green,麻辣巴蕾Malaba-正宗重慶酸辣粉，致力打造舌尖上的麻辣新煮義，重新喚起視覺、味覺的敏銳細微感觀，以絕妙的火侯拿捏，食材的配比，刀工的精細煉出麻辣色、香、燙，讓來客體驗三香、三椒、三料、七分煮、八味、九染中川味獨有的風味。
水道水源地之旅(臺北水旅行),得記烘焙,台北市中正區羅斯福路四段26號,media/店家/27.得記烘焙/得記烘焙1.JPG|media/店家/27.得記烘焙/得記烘焙2.JPG,green,我們是在公館營業過六十年的烘焙店，將法國麵包及貝果麵包改良偏軟成國人較能接受的台式口感，加上傳統的甜麵包為主，以及各類西點蛋糕。
水道水源地之旅(臺北水旅行),瓦崎燒烤火鍋 公館店,臺北市大安區新生南路三段104號2樓,media/店家/28.瓦崎燒烤火鍋/瓦崎燒烤火鍋1.jpg|media/店家/28.瓦崎燒烤火鍋/瓦崎燒烤火鍋2.jpg,green,食材新鮮 美味饗宴，不僅可以大口品嚐燒烤的美味，又能吃到美味湯頭的火鍋，提供現點現切的服務。
水道水源地之旅(臺北水旅行),詩篇咖啡餐廳,台北市中正區中山南路20號B1,media/店家/29.詩篇咖啡餐廳/詩篇咖啡餐廳1.jpg|media/店家/29.詩篇咖啡餐廳/詩篇咖啡餐廳2.jpg,green,"我們是位於國家圖書館內詩篇咖啡餐廳，台北市中正區中山南路20號B1
堅持現做美味料理(非料理包)，提供早午晚餐、現搾果汁、咖啡飲品、下午茶等；餐廳設有110座位、投影音響設備、舞台、電子琴，有獨立玻璃小包廂及教堂式座位區，附有國民旅遊卡刷卡服務；詩篇咖啡餐廳是、包場、展演或講座，這裡一定是您最佳首選空間。"
水道水源地之旅(臺北水旅行),八鼎匠茶,臺北市萬華區西藏路197之1號,media/店家/30.八鼎匠茶/八鼎匠茶1.jpg|media/店家/30.八鼎匠茶/八鼎匠茶2.jpg,green,慢研種製焙細品真善美──八鼎匠茶Budding CraftsTea寶島之南幽靜深山，茶園裡，沃土生機勃發，海拔2千多公尺溪水灌溉孕養，百年原生片岩古茶樹，浸染天地風華，萌芽吐芳。燉茶手法以水蒸氣去除雜味，菁存純凈茶湯韻味。獨門金屬炭焙爐高溫聚熱，龍眼木炭細火慢焙，百年龍窯火燒製的原礦土茶壺，注水茶香迸飛。極致完美的道地台灣好茶，需得用時間上下求索。老茶人李兆杰窮盡畢生埋首鑽研，種茶製茶焙茶講茶，從一間茶行，走進一座茶山，土水木金火相生相偕，開創一條龍五行極茶新境界。一頁台灣茶的活歷史，一口真善美的甘冽，八鼎匠茶的純青爐火熊熊不歇~
